timestamp,user,recipient,action,subject,attachment_size
2026-04-02 08:03:56,carol,colleague45@client-abc.com,send,Project update 5,487767
2026-04-02 14:13:07,oscar,colleague44@gmail.com,send,Project update 1,229909
2026-04-02 10:50:05,henry,colleague9@outlook.com,send,Project update 15,0
2026-04-02 09:43:52,dave,colleague40@gmail.com,send,Project update 19,0
2026-04-02 14:48:16,eve,colleague40@vendor.io,send,Project update 20,0
2026-04-02 11:36:22,bob,colleague29@vendor.io,send,Project update 14,85991
2026-04-02 11:25:28,ivan,colleague35@yahoo.com,send,Project update 24,0
2026-04-02 08:45:44,ivan,colleague40@client-abc.com,send,Project update 2,175587
2026-04-02 11:36:22,dave,colleague33@outlook.com,send,Project update 5,81743
2026-04-02 14:03:51,pat,colleague39@yahoo.com,send,Project update 15,0
2026-04-02 13:36:10,bob,colleague41@outlook.com,send,Project update 29,279210
2026-04-02 12:05:19,oscar,colleague46@yahoo.com,send,Project update 9,255603
2026-04-02 12:11:49,alice,colleague41@outlook.com,send,Project update 6,57846
2026-04-02 15:59:58,ivan,colleague49@client-abc.com,send,Project update 20,0
2026-04-02 08:05:56,pat,colleague42@gmail.com,send,Project update 26,178115
2026-04-02 14:53:13,grace,colleague35@yahoo.com,send,Project update 28,494079
2026-04-02 12:58:02,eve,colleague45@outlook.com,send,Project update 18,0
2026-04-02 14:29:09,grace,colleague7@vendor.io,send,Project update 22,142859
2026-04-02 15:45:56,carol,colleague27@outlook.com,send,Project update 1,249170
2026-04-02 08:52:10,grace,colleague7@gmail.com,send,Project update 24,0
2026-04-02 14:59:13,henry,colleague24@vendor.io,send,Project update 1,47877
2026-04-02 10:28:53,alice,colleague36@yahoo.com,send,Project update 2,0
2026-04-02 09:28:39,grace,colleague23@gmail.com,send,Project update 14,0
2026-04-02 14:34:39,henry,colleague20@yahoo.com,send,Project update 25,26508
2026-04-02 14:49:52,alice,colleague39@client-abc.com,send,Project update 15,258642
2026-04-02 15:40:17,henry,colleague10@partner-corp.com,send,Project update 30,0
2026-04-02 15:10:57,carol,colleague40@partner-corp.com,send,Project update 20,0
2026-04-02 15:17:37,carol,colleague23@client-abc.com,send,Project update 8,0
2026-04-02 11:35:18,henry,colleague30@partner-corp.com,send,Project update 8,0
2026-04-02 11:46:55,bob,colleague36@gmail.com,send,Project update 2,67287
2026-04-02 11:48:44,oscar,colleague33@yahoo.com,send,Project update 16,0
2026-04-02 15:05:51,grace,colleague28@vendor.io,send,Project update 13,0
2026-04-02 08:13:23,eve,colleague9@vendor.io,send,Project update 5,0
2026-04-02 15:18:49,carol,colleague47@vendor.io,send,Project update 5,27431
2026-04-02 12:01:09,alice,colleague21@yahoo.com,send,Project update 22,0
2026-04-02 14:58:34,dave,colleague12@outlook.com,send,Project update 24,0
2026-04-02 14:08:33,henry,colleague35@partner-corp.com,send,Project update 30,295127
2026-04-02 12:29:01,eve,colleague24@gmail.com,send,Project update 5,427012
2026-04-02 10:22:04,ivan,colleague14@vendor.io,send,Project update 8,163400
2026-04-02 10:33:26,carol,colleague16@yahoo.com,send,Project update 1,0
2026-04-02 11:21:06,alice,colleague37@client-abc.com,send,Project update 30,220495
2026-04-02 08:38:00,mallory,colleague50@vendor.io,send,Project update 25,0
2026-04-02 12:33:54,mallory,colleague2@client-abc.com,send,Project update 25,0
2026-04-02 13:23:55,ivan,colleague41@vendor.io,send,Project update 12,91018
2026-04-02 14:11:41,pat,colleague28@client-abc.com,send,Project update 5,0
2026-04-02 11:53:45,alice,colleague14@client-abc.com,send,Project update 17,251665
2026-04-02 15:47:16,ivan,colleague8@gmail.com,send,Project update 11,0
