timestamp,user,recipient,action,subject,attachment_size
2026-04-02 14:55:12,ivan,contact87@yahoo.com,send,Re: Project Update 13,0
2026-04-02 14:35:49,dave,contact54@outlook.com,send,Re: Project Update 8,0
2026-04-02 11:51:45,mallory,contact55@vendor.io,send,Re: Project Update 13,0
2026-04-02 09:23:31,dave,contact79@vendor.io,send,Re: Project Update 3,0
2026-04-02 12:16:58,bob,ext-contact146@outsider.com,forward,Fwd: Q1 Financials,470036
2026-04-02 08:52:19,bob,contact49@outlook.com,send,Re: Project Update 3,444714
2026-04-02 09:13:44,carol,personal1@gmail.com,send,Files 1,5966751
2026-04-02 14:24:45,pat,contact64@gmail.com,send,Re: Project Update 8,0
2026-04-02 11:34:35,carol,contact8@gmail.com,send,Re: Project Update 7,0
2026-04-02 15:47:41,grace,contact75@partner-corp.com,send,Re: Project Update 16,0
2026-04-02 12:13:24,mallory,contact63@vendor.io,send,Re: Project Update 13,1064411
2026-04-02 15:36:41,pat,contact69@vendor.io,send,Re: Project Update 16,0
2026-04-02 10:12:33,henry,contact82@partner-corp.com,send,Re: Project Update 4,1370991
2026-04-02 15:09:20,mallory,contact13@client-abc.com,send,Re: Project Update 5,0
2026-04-02 08:53:07,grace,contact89@vendor.io,send,Re: Project Update 7,0
2026-04-02 09:30:10,bob,contact76@partner-corp.com,send,Re: Project Update 7,0
2026-04-02 13:49:07,dave,contact96@partner-corp.com,send,Re: Project Update 20,0
2026-04-02 09:30:19,pat,contact38@yahoo.com,send,Re: Project Update 10,1108349
2026-04-02 10:05:26,bob,bob.personal+18@gmail.com,forward,Fwd: Q1 Financials,355057
2026-04-02 14:57:01,henry,contact57@vendor.io,send,Re: Project Update 17,0
2026-04-02 15:58:31,pat,contact39@yahoo.com,send,Re: Project Update 8,0
2026-04-02 10:22:19,mallory,contact4@client-abc.com,send,Re: Project Update 9,0
2026-04-02 09:11:22,dave,contact74@outlook.com,send,Re: Project Update 17,0
2026-04-02 15:14:31,pat,contact22@outlook.com,send,Re: Project Update 4,0
2026-04-02 15:15:01,grace,contact48@yahoo.com,send,Re: Project Update 3,0
2026-04-02 08:13:16,carol,contact95@outlook.com,send,Re: Project Update 14,593595
2026-04-02 11:11:07,ivan,contact29@yahoo.com,send,Re: Project Update 8,0
2026-04-02 09:32:39,henry,contact23@gmail.com,send,Re: Project Update 2,101144
2026-04-02 15:09:52,bob,contact17@client-abc.com,send,Re: Project Update 10,0
2026-04-02 11:30:59,bob,contact98@outlook.com,send,Re: Project Update 7,0
2026-04-02 11:46:54,pat,contact20@partner-corp.com,send,Re: Project Update 5,0
2026-04-02 11:51:30,bob,contact58@vendor.io,send,Re: Project Update 12,0
2026-04-02 11:41:35,mallory,contact66@yahoo.com,send,Re: Project Update 16,0
2026-04-02 15:45:21,henry,contact12@gmail.com,send,Re: Project Update 2,0
2026-04-02 13:09:52,henry,contact79@partner-corp.com,send,Re: Project Update 10,0
2026-04-02 10:08:58,grace,contact80@outlook.com,send,Re: Project Update 6,0
2026-04-02 09:55:21,dave,ext40@competitor.com,send,HR data export,287162
2026-04-02 15:12:58,mallory,contact11@yahoo.com,send,Re: Project Update 12,0
2026-04-02 14:42:27,grace,contact25@yahoo.com,send,Re: Project Update 13,208865
2026-04-02 13:50:35,ivan,contact49@gmail.com,send,Re: Project Update 5,0
2026-04-02 14:14:52,pat,contact46@partner-corp.com,send,Re: Project Update 20,0
2026-04-02 15:40:00,bob,contact14@outlook.com,send,Re: Project Update 3,660206
2026-04-02 12:16:18,oscar,contact81@outlook.com,send,Re: Project Update 12,1771580
2026-04-02 14:52:44,henry,contact77@partner-corp.com,send,Re: Project Update 16,0
2026-04-02 13:36:51,carol,contact49@client-abc.com,send,Re: Project Update 10,1823044
2026-04-02 08:53:12,eve,contact71@partner-corp.com,send,Re: Project Update 1,0
2026-04-02 13:22:03,grace,contact69@yahoo.com,send,Re: Project Update 1,0
2026-04-02 11:36:57,ivan,contact90@vendor.io,send,Re: Project Update 7,0
2026-04-02 15:39:55,henry,contact97@partner-corp.com,send,Re: Project Update 8,0
2026-04-02 10:31:56,carol,contact41@partner-corp.com,send,Re: Project Update 13,0
2026-04-02 11:41:32,bob,contact40@vendor.io,send,Re: Project Update 2,1368736
2026-04-02 10:43:42,mallory,contact21@vendor.io,send,Re: Project Update 16,107598
2026-04-02 11:39:23,eve,contact72@gmail.com,send,Re: Project Update 6,0
2026-04-02 12:55:49,alice,contact48@yahoo.com,send,Re: Project Update 3,0
2026-04-02 15:32:06,bob,contact42@client-abc.com,send,Re: Project Update 2,1829357
2026-04-02 10:36:18,grace,contact5@vendor.io,send,Re: Project Update 13,0
2026-04-02 09:28:37,eve,contact17@outlook.com,send,Re: Project Update 4,1502309
2026-04-02 11:41:13,bob,contact40@outlook.com,send,Re: Project Update 15,0
2026-04-02 12:33:31,eve,contact2@vendor.io,send,Re: Project Update 7,854243
2026-04-02 12:50:49,eve,contact55@client-abc.com,send,Re: Project Update 9,0
2026-04-02 08:09:40,bob,contact74@gmail.com,send,Re: Project Update 3,0
2026-04-02 10:29:36,grace,contact93@vendor.io,send,Re: Project Update 7,890320
2026-04-02 15:27:57,eve,contact92@client-abc.com,send,Re: Project Update 13,944393
2026-04-02 11:36:58,mallory,contact54@partner-corp.com,send,Re: Project Update 1,184685
2026-04-02 13:04:48,bob,contact65@partner-corp.com,send,Re: Project Update 17,0
2026-04-02 15:33:09,eve,contact89@client-abc.com,send,Re: Project Update 4,0
2026-04-02 08:11:00,bob,contact86@outlook.com,send,Re: Project Update 18,132897
2026-04-02 09:33:15,bob,contact60@vendor.io,send,Re: Project Update 4,0
2026-04-02 08:27:01,ivan,contact99@yahoo.com,send,Re: Project Update 14,0
2026-04-02 10:29:25,alice,contact89@gmail.com,send,Re: Project Update 13,0
2026-04-02 15:43:12,oscar,contact37@client-abc.com,send,Re: Project Update 18,1507227
2026-04-02 10:38:59,eve,contact93@yahoo.com,send,Re: Project Update 20,0
2026-04-02 12:12:35,carol,contact40@yahoo.com,send,Re: Project Update 5,0
2026-04-02 14:06:15,oscar,contact61@client-abc.com,send,Re: Project Update 10,136540
2026-04-02 11:54:18,alice,contact84@vendor.io,send,Re: Project Update 11,0
2026-04-02 15:45:44,mallory,contact35@partner-corp.com,send,Re: Project Update 3,0
2026-04-02 11:36:06,ivan,contact10@yahoo.com,send,Re: Project Update 8,874219
2026-04-02 14:39:30,oscar,contact99@gmail.com,send,Re: Project Update 14,0
2026-04-02 10:27:17,oscar,contact1@outlook.com,send,Re: Project Update 3,0
2026-04-02 14:51:51,pat,contact21@vendor.io,send,Re: Project Update 1,0
2026-04-02 10:05:20,dave,contact70@vendor.io,send,Re: Project Update 7,660597
2026-04-02 11:33:20,ivan,contact97@yahoo.com,send,Re: Project Update 8,0
2026-04-02 12:05:55,carol,contact47@gmail.com,send,Re: Project Update 9,0
2026-04-02 12:37:58,henry,contact21@outlook.com,send,Re: Project Update 1,0
2026-04-02 15:03:24,eve,contact90@partner-corp.com,send,Re: Project Update 2,0
2026-04-02 13:27:30,oscar,contact35@outlook.com,send,Re: Project Update 2,0
2026-04-02 11:14:36,henry,contact96@partner-corp.com,send,Re: Project Update 13,0
2026-04-02 10:34:54,dave,contact61@outlook.com,send,Re: Project Update 20,1906484
